src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp
13.107.137.11,10.52.21.225,443,2463,TCP,54,1773567964.095198
13.107.137.11,10.52.21.225,443,2463,TCP,54,1773567964.095277
13.107.137.11,10.52.21.225,443,2463,TCP,54,1773567964.095378
13.107.137.11,10.52.21.225,443,2463,TCP,54,1773567964.095516
13.107.137.11,10.52.21.225,443,2463,TCP,54,1773567964.096481
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.096714
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.096752
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.098098
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.098140
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.099856
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.099921
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.100068
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.100095
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.100170
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.100192
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.100226
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.100238
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.100325
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.100341
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.100409
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.100422
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.100532
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.100551
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.100551
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.100659
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.100675
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.101331
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.101383
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.101499
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.101535
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.101535
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.101535
10.52.21.225,13.107.137.11,2464,443,TCP,876,1773567964.101535
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.101634
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.101654
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.101917
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.101945
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.102396
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.102442
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.102562
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.102582
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.102618
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.102645
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.102730
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.102746
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.102834
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.102848
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.102848
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.102941
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.102961
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.102961
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.102961
10.52.21.225,13.107.137.11,2462,443,TCP,687,1773567964.102961
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.103678
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.103730
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.103854
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.103886
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.103886
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.103964
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.103986
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.103986
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.103986
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.103986
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.103986
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.104092
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104109
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104109
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.104147
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104173
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.104230
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104244
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104244
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.104700
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104746
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104746
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104746
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104746
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.104890
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.104890
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104928
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104928
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.104928
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.105019
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.105035
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.105035
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.105136
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.105155
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.105818
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.105850
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.105850
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.105997
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106018
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106018
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.106062
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106090
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106090
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.106171
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106199
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106199
